name,lat,lng,reviews_count,weekly_hours,cafe_individual_score,cafe_weight,banks_count_1km,banks_weight_1km,education_count_1km,education_weight_1km,health_count_1km,health_weight_1km,temples_count_1km,temples_weight_1km,other_count_1km,other_weight_1km,banks_rank,education_rank,health_rank,temples_rank,other_rank
प्रदीप jack tea shop,27.6857203,85.4737355,1,85.0,0.55053924601816,0.55053924601816,1,0.7543930975284249,2,0.8484848484993113,0,0.0,30,12.471174139674934,9,4.100648086029818,1185.0,976.0,1296.0,1093.0,1234.0
जोशी म:म: सेन्टर,27.6760932,85.3981691,3,85.0,0.6010784920363198,0.6010784920363198,38,19.312032734199633,41,14.886491987156372,50,21.10711484192148,130,53.54203340938325,54,22.766750974709396,565.0,548.0,478.0,674.0,503.0
चिया Guff,27.687779,85.3887828,2,85.0,0.5801028097535045,0.5801028097535045,19,9.46711671609201,3,1.1584352382359575,5,1.8820145615822688,137,56.44548195964311,37,15.207701172178199,1001.0,914.0,1021.0,621.0,886.0
A1 mo:mo: newari khaja ghar,27.6951836,85.3705747,2,85.0,0.5801028097535045,0.5801028097535045,9,4.2161277759721685,0,0.0,1,0.3939914982044257,31,13.317019794686415,17,6.7540600341151436,1094.0,1261.0,1194.0,1064.0,1172.0
Aabsar khaja ghar,27.695915,85.4641851,3,85.0,0.6010784920363198,0.6010784920363198,0,0.0,2,0.9444444445185185,1,0.35000000001583337,27,10.530005738248164,22,9.484998129050659,1265.0,973.0,1277.0,1159.0,1061.0
Aaditya Paanipuri ChanaChatpat & Cold Drinks,27.6703549,85.4310597,1,85.0,0.55053924601816,0.55053924601816,64,31.102161909654388,176,55.818320373738814,178,75.26352987479143,250,103.68587715157099,126,49.374560042486,55.0,82.0,9.0,77.0,4.0
Aafno chotu panipuri and dahipuri,27.6753687,85.3745365,1,85.0,0.55053924601816,0.55053924601816,42,21.26607106655829,2,0.8099228582392453,9,3.4221855949294655,151,62.27679039214864,54,22.098858077455233,402.0,1144.0,874.0,475.0,550.0
Aago Pani Authentic Nepali Cuisine,27.6758263,85.3658754,2,85.0,0.5801028097535045,0.5801028097535045,28,14.58768646983564,1,0.4646847629896704,3,1.0444519779701318,31,13.041231828459239,30,11.733519348553362,791.0,1207.0,1109.0,1067.0,967.0
Aagya wine and dine,27.6630991,85.4240961,1,85.0,0.55053924601816,0.55053924601816,48,23.015991223679578,141,45.25851555701697,127,53.10313856889592,204,85.41211265821016,102,39.93044663185125,341.0,289.0,300.0,334.0,317.0
Aalucha,27.6715487,85.4283565,587,85.0,0.9649445039221469,0.9649445039221469,65,31.445596253098525,179,57.04556722428763,175,73.4429654247424,249,103.23970031127408,123,47.89547161012417,7.0,18.0,63.0,107.0,97.0
Aama ko Pasal,27.6717122,85.3780744,0,85.0,0.5,0.5,43,21.508928209424685,3,1.1530210087285364,9,3.4221855949294655,149,61.46578646458565,61,25.032339132644733,397.0,941.0,874.0,491.0,390.0
